part,step_id,variant,model,seed,cv,subset,target,train_mode,test_domain,n_added,n,n_total,n_groups,n_test,R2,RMSE,MAE
loocv_ref,Augmented|LOCO,,Ridge,50,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7365710621614503,4.5658338393021936,3.274871858326751
loocv_ref,Augmented|LOCO,,Ridge,51,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7500114709402681,4.447832283141501,3.101978539132736
loocv_ref,Augmented|LOCO,,Random Forest,42,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7766843090223532,4.20385745762922,3.15605816535821
loocv_ref,Augmented|LOCO,,Random Forest,43,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.795195859601908,4.025851287305188,2.7965283485771635
loocv_ref,Augmented|LOCO,,Random Forest,44,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.8181063151137753,3.7939986560945878,2.6441167185760976
loocv_ref,Augmented|LOCO,,Random Forest,45,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7818336182420252,4.1551076186230045,2.9328866230022363
loocv_ref,Augmented|LOCO,,Random Forest,46,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7998276819955155,3.980066892804049,2.798218345993239
loocv_ref,Augmented|LOCO,,Random Forest,47,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.8155602636159395,3.820459573629054,2.6395052508979244
loocv_ref,Augmented|LOCO,,Random Forest,48,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7942952858203925,4.034692903528765,2.874654376029509
loocv_ref,Augmented|LOCO,,Random Forest,49,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7919788710875961,4.057346390438207,2.8247082857168633
loocv_ref,Augmented|LOCO,,Random Forest,50,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.8135687904079961,3.8410297488749405,2.6424407536067744
loocv_ref,Augmented|LOCO,,Random Forest,51,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7822399354786551,4.151236539491818,2.983771716406938
loocv_ref,Augmented|LOCO,,XGBoost,42,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7382275010944013,4.551456239823449,3.3782274656128464
loocv_ref,Augmented|LOCO,,XGBoost,43,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7600489017021912,4.357623789256458,3.0905511747326764
loocv_ref,Augmented|LOCO,,XGBoost,44,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7355433414201737,4.574731560336227,3.31009787258349
loocv_ref,Augmented|LOCO,,XGBoost,45,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7551191932735902,4.402159113093782,3.2443806126243193
loocv_ref,Augmented|LOCO,,XGBoost,46,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.748157824299641,4.46429200296001,3.3434109785682278
loocv_ref,Augmented|LOCO,,XGBoost,47,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7373098214189548,4.559427139623447,3.4177779256251823
loocv_ref,Augmented|LOCO,,XGBoost,48,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7578708488214314,4.3773563397432955,3.1669359576074703
loocv_ref,Augmented|LOCO,,XGBoost,49,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7622333790063148,4.337742874589409,3.212415575060928
loocv_ref,Augmented|LOCO,,XGBoost,50,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7647244204479179,4.3149601385103455,3.1859421435573645
loocv_ref,Augmented|LOCO,,XGBoost,51,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7725139588081492,4.242928747558782,3.065110030592534
loocv_ref,Augmented|LOCO,,GPR,42,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700915653174387,4.265459418262451,2.9769287684854353
loocv_ref,Augmented|LOCO,,GPR,43,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.770091673693011,4.265458412923824,2.9769285880881657
loocv_ref,Augmented|LOCO,,GPR,44,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700915759875993,4.265459319281443,2.976929114327667
loocv_ref,Augmented|LOCO,,GPR,45,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700916578456584,4.265458559930728,2.9769283502050956
loocv_ref,Augmented|LOCO,,GPR,46,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700916810910714,4.265458344296211,2.9769285887576307
loocv_ref,Augmented|LOCO,,GPR,47,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700915947174354,4.265459145535406,2.976928669675816
loocv_ref,Augmented|LOCO,,GPR,48,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700916401505513,4.265458724078196,2.976928071653083
loocv_ref,Augmented|LOCO,,GPR,49,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.77009164146915,4.265458711846305,2.9769281301416526
loocv_ref,Augmented|LOCO,,GPR,50,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700915731806128,4.2654593453202585,2.9769285381630723
loocv_ref,Augmented|LOCO,,GPR,51,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7700915740206693,4.265459337527534,2.976928837926376
