part,model,subset,cv,step,metric,point,lo,hi,median_boot,n_groups,n_rows,B_total,n_seeds
dopt,Random Forest,all,LOCO,0,R2,0.6544416990161042,0.4169330871968559,0.790394192317634,0.637089609825634,24,42,20000,10
dopt,Random Forest,all,LOCO,0,RMSE,4.438937499920666,2.9033871218226923,6.157101615892598,4.368004345626401,24,42,20000,10
dopt,Random Forest,all,LOCO,0,MAE,3.2446768025124744,2.140305242203493,4.319739253599765,3.1897079010381293,24,42,20000,10
dopt,Random Forest,all,LOCO,1,R2,0.6557335500650107,0.4798729170305033,0.7949476939184492,0.6490685494978293,25,43,20000,10
dopt,Random Forest,all,LOCO,1,RMSE,4.454957517953697,2.9426345126851605,5.843832639301554,4.316005047191291,25,43,20000,10
dopt,Random Forest,all,LOCO,1,MAE,3.2824189392864547,2.246896185430917,4.3200303447734205,3.20900879448567,25,43,20000,10
dopt,Random Forest,all,LOCO,2,R2,0.6921573564545767,0.5240645046517322,0.8101598127174882,0.6801138804761696,26,44,20000,10
dopt,Random Forest,all,LOCO,2,RMSE,4.353720596698647,3.043873067020031,5.751509170946332,4.283939836595202,26,44,20000,10
dopt,Random Forest,all,LOCO,2,MAE,3.1795520881380948,2.2971877587930423,4.180684585881513,3.1846067961227975,26,44,20000,10
dopt,Random Forest,all,LOCO,3,R2,0.711176778669405,0.547258719643255,0.8287135850377172,0.7004704417776345,27,45,20000,10
dopt,Random Forest,all,LOCO,3,RMSE,4.307892418990111,2.9604048040012714,5.72571838032097,4.23368512241929,27,45,20000,10
dopt,Random Forest,all,LOCO,3,MAE,3.1100820227802712,2.2034428040700096,4.103336759525834,3.0958262343386718,27,45,20000,10
dopt,Random Forest,all,LOCO,4,R2,0.7386468246109816,0.5721133289986834,0.8512427716342826,0.7255820365271957,28,46,20000,10
dopt,Random Forest,all,LOCO,4,RMSE,4.253076970285358,2.9901099748533233,5.648381023097509,4.217359021702233,28,46,20000,10
dopt,Random Forest,all,LOCO,4,MAE,3.148708145972208,2.255251135504144,4.112006609742404,3.1310806605971253,28,46,20000,10
dopt,Random Forest,all,LOCO,5,R2,0.7449155260757158,0.5916098167761535,0.8590158834486594,0.736542675855548,29,47,20000,10
dopt,Random Forest,all,LOCO,5,RMSE,4.275218046975697,2.945329364524393,5.596985942106442,4.208957480090214,29,47,20000,10
dopt,Random Forest,all,LOCO,5,MAE,3.1338446441687773,2.1978518425916427,4.073265438761716,3.1006027572073673,29,47,20000,10
dopt,Random Forest,all,LOCO,6,R2,0.7600536335913459,0.6087411618018925,0.8691975261213868,0.7494847699196476,30,48,20000,10
dopt,Random Forest,all,LOCO,6,RMSE,4.176391839088903,2.9116862523298197,5.517436880314505,4.1390708772381055,30,48,20000,10
dopt,Random Forest,all,LOCO,6,MAE,3.067082323655863,2.1835823783471846,4.013557008219375,3.0445039952408677,30,48,20000,10
dopt,Random Forest,all,LOCO,7,R2,0.7578518727185466,0.6146512310566948,0.8691690649631713,0.7511163074788503,31,49,20000,10
dopt,Random Forest,all,LOCO,7,RMSE,4.214786164654322,2.912141300382699,5.5092714263351645,4.1502634983015625,31,49,20000,10
dopt,Random Forest,all,LOCO,7,MAE,3.059954313246638,2.1715767469983223,4.009693377951909,3.047960578833564,31,49,20000,10
dopt,Random Forest,all,LOCO,8,R2,0.7502784395470812,0.6015780271770436,0.8633017581595912,0.7447010497691315,32,50,20000,10
dopt,Random Forest,all,LOCO,8,RMSE,4.273697799237519,2.9808476295071635,5.558649001520019,4.200515249619027,32,50,20000,10
dopt,Random Forest,all,LOCO,8,MAE,3.1510791703650494,2.236846576361687,4.061549385617493,3.098092833223079,32,50,20000,10
dopt,Random Forest,all,LOCO,9,R2,0.7583217395861344,0.6252493484125982,0.8690136539311539,0.7578465192180378,33,51,20000,10
dopt,Random Forest,all,LOCO,9,RMSE,4.265186193427881,2.95245177686375,5.474184356987354,4.1586690284777745,33,51,20000,10
